ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
0,13945833.333333334,6575166.666666667,5441500.0,334450.0,420666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11357675,0.089962571,-0.2035462,-6.8790000000151785e-06,0.99999974,0.93445828,0.0026205390751996957
1,11627500.0,4741500.0,3668500.0,289150.0,398000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11686495,0.04670817,-0.16359252,-1.940000000000275e-05,0.99999945,0.95819517,0.0023016373709453548
2,12450833.333333334,5718833.333333333,5000500.0,320650.0,451600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10669568,0.11741505,-0.22411073,0.0,0.99999971,0.97084189,0.002582266053305234
3,9309166.666666666,5069166.666666667,4271500.0,297550.0,418266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.080588729,0.0048533967,-0.085469885,-2.7759299999999265e-05,0.99993591,0.94354023,0.010805300956329896
4,10089166.666666666,6019833.333333333,4559500.0,311650.0,407333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.083946231,-0.12776361,0.043811604,-5.775000000006469e-06,0.99999998,0.99900703,0.19469108497847656
5,8117500.0,5656166.666666667,5306500.0,254950.0,436133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.092123431,0.02474761,-0.098771832,0.018099209000000005,0.99992678,0.96661409,0.010127440922880735
6,10457500.0,5145166.666666667,4613500.0,335050.0,381466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.078298577,0.12821343,-0.20651653,-4.523000000006272e-06,0.9999997,0.96119822,0.0009482320150196074
7,12147500.0,3278500.0,3101500.0,267250.0,396133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13784218,0.08651375,-0.19788377,0.026472160000000022,0.99999636,0.97212149,0.012916619849041995
8,10890833.333333334,4191833.3333333335,3767500.0,308350.0,431600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.096081671,0.10372143,-0.20032262,-0.0005195190000000238,0.99999981,0.97562552,0.0050846599529610625
9,13382500.0,4599833.333333333,4343500.0,338350.0,451866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10644325,0.12118325,-0.22738932,0.0002371800000000035,0.99999956,0.97372808,0.0021724801898970088
10,10999166.666666666,6162833.333333334,4982500.0,281950.0,458533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11413782,-0.024712423,-0.089419677,5.7200000000007245e-06,0.99999945,0.94549696,0.002178567422131463
11,8009166.666666667,5183833.333333333,5081500.0,292150.0,443066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.063778518,0.10165167,-0.16542073,9.45800000001773e-06,0.99999583,0.98222747,0.0005739171058164634
12,11302500.0,3728166.6666666665,3560500.0,284050.0,398266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11644905,0.096461299,-0.21244149,0.00046885899999998815,0.99999971,0.97097538,0.004756859862688871
13,7879166.666666667,6024166.666666667,5072500.0,291250.0,382000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.062439072,-0.15911791,0.096678751,-8.700000000971819e-08,0.99999976,0.99910892,0.12376997890308562
14,7510833.333333333,5990166.666666667,5360500.0,283450.0,414266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.060856109,-0.11410736,0.053251274,2.299999999483271e-08,0.99999998,0.99905606,0.22154893925884359
15,11324166.666666668,3184833.3333333335,2984500.0,292450.0,429200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11110864,0.073089363,-0.18943034,-0.005232337000000004,0.9998561,0.97808304,0.000860598390904769
16,9244166.666666666,6403166.666666667,5045500.0,258550.0,396933.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10722388,-0.21720826,0.14664031,0.03665593,0.99999996,0.99915311,0.18142177454361502
17,7597500.0,5198500.0,4811500.0,284950.0,385466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.061372564,0.018765504,-0.080171036,-3.296800000000821e-05,0.99994815,0.94313013,0.008625537653923225
18,9222500.0,4712500.0,4199500.0,261850.0,457733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10445282,0.085178453,-0.18927272,0.0003585529999999837,0.99999664,0.97347131,0.007412484566482645
19,12212500.0,4248166.666666667,3128500.0,293650.0,438266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.12055315,0.045092449,-0.16561753,2.8068999999991684e-05,0.99999748,0.96677197,0.0018111461914064706
20,11129166.666666668,5013166.666666667,4397500.0,307750.0,421733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.099323805,0.11943042,-0.21894886,-0.00019463499999999856,0.9999981,0.96500514,0.006305428069907964
21,9547500.0,5259500.0,4298500.0,270850.0,453200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10251344,-0.011732714,-0.090781237,-5.110000000085879e-07,0.99999973,0.94649797,0.001896173100510658
22,13317500.0,5437166.666666667,5171500.0,314350.0,393733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11912066,0.16389197,-0.28303006,-1.743000000004047e-05,0.99999943,0.9803024,0.0014399106950529247
23,12515833.333333334,6345833.333333334,5459500.0,265750.0,406266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.14299377,-0.076107271,0.089990509,0.15687700799999998,0.99998931,0.98371054,0.14113894545927383
24,12104166.666666668,6304500.0,5063500.0,253750.0,439600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
25,9417500.0,5462166.666666667,4118500.0,287350.0,436400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.08878349,-0.11622517,0.02742621,-1.5469999999996598e-05,0.99999998,0.99888364,0.34302825728175
26,12234166.666666668,4898500.0,3965500.0,307150.0,391600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11224311,0.094686517,-0.20665105,0.0002785770000000021,0.99999964,0.94757303,0.0026983750226885566
27,13534166.666666668,5289500.0,3866500.0,263650.0,445733.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
28,8355833.333333333,5603833.333333334,4703500.0,276550.0,459066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.078986264,-0.09323375,0.01424037,-7.116000000003189e-06,0.99999998,0.99862753,1.0
29,9850833.333333334,6768166.666666667,5396500.0,315550.0,454266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.078848435,-0.15245892,0.073609664,-8.209999999980733e-07,0.99999998,0.99910343,0.21046397808004494
30,9179166.666666666,5451833.333333333,5279500.0,296950.0,449733.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.078956279,0.11257387,-0.19155015,-2.000099999999172e-05,0.9999961,0.98198578,0.0010799433462712325
31,13404166.666666668,4693833.333333334,3821500.0,325450.0,459866.6666666666,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11349412,0.095577159,-0.20405985,0.005011429000000012,0.99998916,0.96213237,0.0031883998634861035
32,8529166.666666666,4285500.0,2876500.0,331450.0,439866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.057815973,-0.10104519,0.043223182,-6.034999999994517e-06,0.99999998,0.99903785,0.20100914941273787
33,8160833.333333334,3466500.0,2813500.0,274450.0,401466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.077092409,0.028512825,-0.10284914,0.0027560939999999867,0.99999533,0.94936976,0.008653590449943661
34,13252500.0,5271500.0,4730500.0,297250.0,456666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1293076,0.12358573,-0.25312451,-0.0002311799999999975,0.99999625,0.97684929,0.0029389580823765285
35,8615833.333333334,5037500.0,4874500.0,295450.0,427333.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.071004774,0.11134853,-0.18228983,6.347399999998005e-05,0.99999826,0.97928217,0.0012689197600025375
36,12277500.0,3224166.6666666665,2804500.0,272950.0,416400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13534186,0.072570842,-0.17688576,0.031026942000000002,0.99999388,0.97396041,0.013780853439511015
37,7619166.666666667,5854500.0,5243500.0,306550.0,415600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.05511631,-0.089694311,0.034578067,6.599999999995498e-08,0.99999998,0.9989512,0.20111212537589207
38,10240833.333333334,3972833.3333333335,3380500.0,337150.0,391066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.075060219,0.099856491,-0.1751584,-0.00024168999999998886,0.99999996,0.96150274,0.0013633457663607589
39,7814166.666666667,5530833.333333333,5036500.0,252250.0,450266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.089047794,-0.048340252,-0.023101994,0.017605548,0,0.93576659,7.239496704030978e-05
40,9200833.333333334,3762500.0,3137500.0,320950.0,398800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067974024,0.067470546,-0.13544647,-1.9000000000268802e-06,0.9999995,0.93614113,0.0026973454872390593
41,13555833.333333332,6383833.333333333,4937500.0,327250.0,421466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.1139253,0.0065058496,-0.12044072,-9.570400000005752e-06,0.99999651,0.94971361,0.003480255979832091
42,10804166.666666666,4840166.666666667,3650500.0,280150.0,425733.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11293279,0.0016764926,-0.11410059,0.0005086925999999992,0.99999961,0.95982636,0.0016502832012661253
43,12190833.333333332,5922500.0,4793500.0,252850.0,457200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
44,13165833.333333334,5557833.333333334,4307500.0,310450.0,450000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11998103,0.04427088,-0.1647315,-0.00047959000000000196,0.99999965,0.94616198,0.0044179419991289895
45,10349166.666666668,4562833.333333333,3452500.0,256750.0,410800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12371782,-0.037494514,-0.05197166,0.034251646,0.99959745,0.93625518,0.013730878998696957
46,9482500.0,3305500.0,3002500.0,280750.0,422533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.094361961,0.077690398,-0.1711909,0.0008614589999999811,0.99999949,0.96112805,0.003341277086411099
47,8074166.666666667,4915500.0,4514500.0,275650.0,411066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.074606713,0.066134716,-0.14077217,-3.0741000000000795e-05,0.99999278,0.93928396,0.0022832636772458412
48,13729166.666666668,5765166.666666667,4505500.0,302050.0,402533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.1309723,0.079477121,-0.21045277,-3.3489999999858355e-06,0.99999968,0.93371809,0.0031960858958753153
49,8745833.333333334,4625833.333333334,3389500.0,314650.0,430266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.064535736,-0.091703723,0.027167625,-3.620000000037482e-07,0.99999998,0.99890956,0.2521398616337699
50,12602500.0,4790833.333333334,3470500.0,334750.0,414000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10088125,0.017774512,-0.11866723,-1.1468000000000589e-05,0.99999764,0.95897785,0.000563078267946977
51,13360833.333333334,5012833.333333333,4406500.0,314950.0,421200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11918615,0.12476032,-0.24394562,8.499999999966867e-07,0.99999945,0.97369754,0.0028392033870771106
52,13122500.0,4087166.6666666665,2939500.0,250750.0,410266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
53,10825833.333333334,4677833.333333334,3749500.0,278350.0,388666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11445318,0.054547501,-0.16893286,6.782099999999569e-05,0.99999949,0.96033411,0.002658902080716581
54,8680833.333333334,4368500.0,4037500.0,277450.0,386533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.083953402,0.10613077,-0.19008244,1.7320000000042857e-06,0.99999937,0.97445291,0.0026997250554144925
55,13230833.333333334,4510166.666666667,3992500.0,324550.0,404400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11232686,0.11313283,-0.22552133,-6.16400000000017e-05,0.99999701,0.9698167,0.0016842486855546915
56,8095833.333333333,4989500.0,4154500.0,265150.0,395066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.083290173,-0.066001796,-0.017780769,-0.0004923920000000047,0.99999997,0.94962064,0.0012688898322384741
57,13794166.666666668,5481166.666666667,4487500.0,272650.0,438533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
58,9764166.666666668,5623833.333333333,4667500.0,263350.0,399066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11113218,-0.25939796,0.22276691,0.07450113000000003,0.99996853,0.99911338,0.0056601429521464415
59,12537500.0,5818500.0,4325500.0,262750.0,439333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,0,0,0,0,0,0,0,0
60,11150833.333333334,5631500.0,4586500.0,255250.0,394533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1346975,0.15698088,0.30218693,0.59386531,0.99879389,0.89829456,0.024357297074047803
61,8789166.666666666,4156166.666666667,3218500.0,259450.0,397733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.099745508,-0.0078226356,-0.092211997,-0.0002891246000000097,0.99999956,0.95499043,0.0031659510001534677
62,12775833.333333334,5499166.666666667,4757500.0,322750.0,388133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10884802,0.14011369,-0.24896171,0.0,0.99999986,0.96736085,0.0015997102372341137
63,9699166.666666668,5319166.666666667,4955500.0,336250.0,405733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.069044322,0.12658571,-0.19563003,1.9999999989472883e-09,0.99999966,0.96943073,0.0006079724166324811
64,13664166.666666668,3669833.3333333335,3119500.0,273250.0,412133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.149767,0.094992177,-0.19079977,0.05395940699999999,0.99977388,0.96430612,0.02774974772956614
65,13469166.666666668,5016500.0,4433500.0,277150.0,415066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1451605,0.12877591,-0.23331802,0.04061839000000003,0.99998939,0.97713659,0.02300779396374084
66,12732500.0,4265500.0,4046500.0,326050.0,441733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10660753,0.11177355,-0.20860334,0.009777740000000007,0.99999845,0.96341542,0.0036530877254160607
67,8399166.666666666,3605500.0,2966500.0,286150.0,381733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.073029244,0.038212158,-0.11124691,-5.5080000000151674e-06,0.99999984,0.94222933,0.0033728540839647377
68,9742500.0,3793833.3333333335,3551500.0,294850.0,398533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.088736111,0.10496644,-0.19400264,-0.0003000890000000034,0.99999993,0.97842834,0.0041922920551103115
69,9157500.0,4292833.333333333,3308500.0,258850.0,384133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1057414,-0.035078544,-0.047425974,0.023236881999999993,0.99992435,0.93361287,0.01076889165357585
70,10674166.666666668,5975833.333333333,5495500.0,251350.0,423333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13169467,0.077623582,-0.16660581,0.04271244200000002,0.99989252,0.95660946,0.00437309836960247
71,11844166.666666668,4054833.3333333335,3938500.0,276250.0,445200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12814381,0.10044279,-0.22094282,0.007643779999999989,0.99997694,0.96682475,0.005432096918660325
72,9634166.666666668,6467833.333333334,5189500.0,318850.0,443600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.074493065,-0.13561777,0.061123254,-1.450999999999536e-06,0.99999998,0.99907796,0.20305606689431982
73,12949166.666666668,5169500.0,3956500.0,332050.0,391333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10557278,0.047890079,-0.15346377,-9.109999999923346e-07,0.99999974,0.94846411,0.0008172064678329314
